9.830000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00
2.820000000000000000e+02,7.000000000000000000e+01,4.930000000000000000e+02
2.000000000000000000e+00,1.000000000000000000e+00,3.440000000000000000e+02
1.220000000000000000e+02,7.110000000000000000e+02,3.400000000000000000e+01
3.500000000000000000e+01,3.700000000000000000e+01,2.680000000000000000e+03
7.300000000000000000e+01,4.277000000000000000e+03,6.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00,6.438000000000000000e+03
7.800000000000000000e+01,1.574100000000000000e+04,1.400000000000000000e+01
5.100000000000000000e+01,3.542600000000000000e+04,4.700000000000000000e+01
3.500000000000000000e+01,4.106400000000000000e+04,1.600000000000000000e+01
1.300000000000000000e+01,5.336700000000000000e+04,2.300000000000000000e+01
5.654500000000000000e+04,2.800000000000000000e+01,1.100000000000000000e+01
1.000000000000000000e+00,2.000000000000000000e+00,8.180000000000000000e+02
5.000000000000000000e+00,1.200000000000000000e+01,3.058000000000000000e+03
5.179000000000000000e+03,3.000000000000000000e+00,8.000000000000000000e+00
1.025600000000000000e+04,8.000000000000000000e+00,6.000000000000000000e+00
1.101300000000000000e+04,9.600000000000000000e+01,3.580000000000000000e+02
4.000000000000000000e+00,1.439600000000000000e+04,2.000000000000000000e+00
1.400000000000000000e+02,1.539900000000000000e+04,1.900000000000000000e+02
2.245700000000000000e+04,2.000000000000000000e+01,1.140000000000000000e+02
1.972700000000000000e+04,1.150000000000000000e+02,3.000000000000000000e+01
2.032000000000000000e+04,2.680000000000000000e+02,2.200000000000000000e+01
9.100000000000000000e+01,2.952000000000000000e+04,3.100000000000000000e+01
2.300000000000000000e+01,5.226200000000000000e+04,1.700000000000000000e+01
1.106300000000000000e+04,8.000000000000000000e+00,1.000000000000000000e+01
1.575600000000000000e+04,8.000000000000000000e+00,5.000000000000000000e+00
1.789600000000000000e+04,6.000000000000000000e+00,6.000000000000000000e+00
1.947900000000000000e+04,3.000000000000000000e+00,7.000000000000000000e+00
1.808700000000000000e+04,1.400000000000000000e+01,2.000000000000000000e+00
1.929700000000000000e+04,1.170000000000000000e+02,7.000000000000000000e+00
3.000000000000000000e+00,1.941900000000000000e+04,3.000000000000000000e+00
5.450000000000000000e+02,1.360000000000000000e+02,1.561400000000000000e+04
0.000000000000000000e+00,3.643000000000000000e+03,1.000000000000000000e+00
